time_key,time_value,hours_24,hours_12,hour_minutes,day_minutes,seconds
85600,08:56:00,08,08,56,536,00
85700,08:57:00,08,08,57,537,00
85800,08:58:00,08,08,58,538,00
85900,08:59:00,08,08,59,539,00
90000,09:00:00,09,09,00,540,00
90100,09:01:00,09,09,01,541,00
90200,09:02:00,09,09,02,542,00
90300,09:03:00,09,09,03,543,00
90400,09:04:00,09,09,04,544,00
90500,09:05:00,09,09,05,545,00
90600,09:06:00,09,09,06,546,00
90700,09:07:00,09,09,07,547,00
90800,09:08:00,09,09,08,548,00
90900,09:09:00,09,09,09,549,00
91000,09:10:00,09,09,10,550,00
91100,09:11:00,09,09,11,551,00
91200,09:12:00,09,09,12,552,00
91300,09:13:00,09,09,13,553,00
91400,09:14:00,09,09,14,554,00
91500,09:15:00,09,09,15,555,00
91600,09:16:00,09,09,16,556,00
91700,09:17:00,09,09,17,557,00
91800,09:18:00,09,09,18,558,00
91900,09:19:00,09,09,19,559,00
92000,09:20:00,09,09,20,560,00
92100,09:21:00,09,09,21,561,00
92200,09:22:00,09,09,22,562,00
92300,09:23:00,09,09,23,563,00
92400,09:24:00,09,09,24,564,00
92500,09:25:00,09,09,25,565,00
92600,09:26:00,09,09,26,566,00
92700,09:27:00,09,09,27,567,00
92800,09:28:00,09,09,28,568,00
92900,09:29:00,09,09,29,569,00
93000,09:30:00,09,09,30,570,00
93100,09:31:00,09,09,31,571,00
93200,09:32:00,09,09,32,572,00
93300,09:33:00,09,09,33,573,00
93400,09:34:00,09,09,34,574,00
93500,09:35:00,09,09,35,575,00
93600,09:36:00,09,09,36,576,00
93700,09:37:00,09,09,37,577,00
93800,09:38:00,09,09,38,578,00
93900,09:39:00,09,09,39,579,00
94000,09:40:00,09,09,40,580,00
94100,09:41:00,09,09,41,581,00
94200,09:42:00,09,09,42,582,00
94300,09:43:00,09,09,43,583,00
94400,09:44:00,09,09,44,584,00
94500,09:45:00,09,09,45,585,00
94600,09:46:00,09,09,46,586,00
94700,09:47:00,09,09,47,587,00
94800,09:48:00,09,09,48,588,00
94900,09:49:00,09,09,49,589,00
95000,09:50:00,09,09,50,590,00
95100,09:51:00,09,09,51,591,00
95200,09:52:00,09,09,52,592,00
