movie_key,title,movieid,tconst,multiple_concatenate_genre_key,multiple_concatenate_professional_key,releasedate,averagerating,num_votes
40059,Le tourbillon de Paris,,tt0019485,87372,3293,1928,7,57
39571,Two Lovers,,tt0019501,87898,3108,1928,7,35
39317,Won in the Clouds,,tt0019596,87220,2939,1928,6,55
39332,The Ace of Scotland Yard,,tt0019620,86406,2447,1929,7,23
40032,Barnum Was Right,,tt0019676,86998,2732,1929,6,20
40001,Below the Deadline,,tt0019685,86332,2770,1929,5,41
39729,Betrayal,,tt0019687,86664,3281,1929,5,46
40117,Big News,,tt0019690,86586,2985,1929,5,317
39724,Le bled,,tt0019704,86779,2330,1929,6,126
40084,The Case of Lena Smith,,tt0019754,87574,2383,1929,7,45
40130,The Cock-Eyed World,,tt0019776,86760,2743,1929,5,103
39750,The Dance of Life,,tt0019798,87574,3215,1929,7,352
39458,Two-Buldi-Two,,tt0019842,86664,2698,1929,7,49
39673,Fast Company,,tt0019871,87977,2864,1929,6,24
39447,The Gamblers,,tt0019917,86332,2184,1929,5,65
39722,China Express,,tt0019939,86664,2431,1929,6,140
39827,Half Way to Heaven,,tt0019958,87574,2276,1929,6,74
40039,His First Command,,tt0019987,87327,3122,1929,5,51
40048,Hold Your Man,,tt0019991,86323,2717,1929,8,14
39834,Howdy Broadway,,tt0020005,86633,2674,1929,4,34
39439,The Informer,,tt0020025,86664,2986,1929,7,282
40086,Innocents of Paris,,tt0020026,87074,2660,1929,8,45
39496,The Jazz Age,,tt0020040,87574,2909,1929,8,26
39696,"Kys, klap og kommers",,tt0020070,86648,2372,1929,7,16
40058,The Lady from the Sea,,tt0020073,87067,2249,1929,6,34
39895,Lazy Days,,tt0020086,87936,3191,1929,6,160
40140,The Leatherneck,,tt0020088,86664,2145,1929,6,149
39947,Monte Cristo,,tt0020182,86779,2961,1929,7,157
39219,The Naggers' Day of Rest,,tt0020189,87812,2132,1931,5,47
39491,Paris Bound,,tt0020258,87574,2726,1929,6,150
39172,The Phantom in the House,,tt0020267,86332,2561,1929,5,149
39705,The Power of Evil,,tt0020285,86664,2857,1928,5,28
39828,Latin Quarter,,tt0020297,87574,2951,1929,7,13
39744,The Rainbow Man,,tt0020308,86925,3152,1929,7,17
39368,Der rote Kreis,,tt0020345,86789,3189,1929,7,11
40136,Saba,,tt0020354,86664,2804,1929,7,40
39456,Seven Keys to Baldpate,,tt0020388,86874,3038,1929,6,431
40134,The Silent Enemy,,tt0020405,86664,2392,1930,7,265
39214,Sprengbagger 1010,,tt0020444,86664,3304,1929,7,55
40053,Säg det i toner,,tt0020473,87115,2229,1929,4,8
40087,Thunder,,tt0020498,87434,3165,1929,7,48
39414,Tide of Empire,,tt0020502,87511,2854,1929,6,234
39419,Tiger Rose,,tt0020503,87863,2221,1929,6,29
39326,The Greenwood Tree,,tt0020532,86664,2969,1929,7,14
39498,Words and Music,,tt0020604,87853,2947,1929,5,90
40021,El amor solfeando,,tt0020637,86323,3029,1930,6,13
39983,Anybody's Woman,,tt0020645,87574,2493,1930,6,157
39254,The Big Fight,,tt0020684,87434,3100,1930,5,32
40079,The Border Legion,,tt0020700,87511,3310,1930,7,29
39661,Burning Up,,tt0020718,86406,2485,1930,6,40
39166,The Cat Creeps,,tt0020748,86500,2767,1930,7,92
39626,David Golder,,tt0020814,86664,2519,1931,7,319
